"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 08:43:30 GMT 2021","Sun Aug 08 08:43:30 GMT 2021","18","test","test_TC04_UjCikk","TestNewBLogPost","","","test_create_new_article",""
"passed","Sun Aug 08 08:43:20 GMT 2021","Sun Aug 08 08:43:22 GMT 2021","1358","test","test_TC03_Login","TestLoginConduit","","","test_navigate_to_login",""
"passed","Sun Aug 08 08:43:00 GMT 2021","Sun Aug 08 08:43:00 GMT 2021","96","test","test_TC00_Conduit","TestConduit","","","test_website",""
"passed","Sun Aug 08 08:43:02 GMT 2021","Sun Aug 08 08:43:05 GMT 2021","2134","test","test_TC01_Cookies","TestCookies","","","test_website",""
"passed","Sun Aug 08 08:43:14 GMT 2021","Sun Aug 08 08:43:16 GMT 2021","2138","test","test_TC03_Login","TestLoginConduit","","","test_website",""
"passed","Sun Aug 08 08:43:07 GMT 2021","Sun Aug 08 08:43:10 GMT 2021","2135","test","test_TC02_Regisztracio","TestRegistrationConduit","","","test_website",""
"passed","Sun Aug 08 08:43:18 GMT 2021","Sun Aug 08 08:43:19 GMT 2021","1485","test","test_TC03_Login","TestLoginConduit","","","test_registration",""
"passed","Sun Aug 08 08:43:27 GMT 2021","Sun Aug 08 08:43:28 GMT 2021","1366","test","test_TC04_UjCikk","TestNewBLogPost","","","test_navigate_to_login",""
"broken","Sun Aug 08 08:43:38 GMT 2021","Sun Aug 08 08:43:38 GMT 2021","16","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_create_new_article",""
"passed","Sun Aug 08 08:43:11 GMT 2021","Sun Aug 08 08:43:13 GMT 2021","2188","test","test_TC02_Regisztracio","TestRegistrationConduit","","","test_registration",""
"passed","Sun Aug 08 08:42:59 GMT 2021","Sun Aug 08 08:42:59 GMT 2021","43","test","test_TC00_Conduit","TestConduit","","","test_home_page_appearances",""
"passed","Sun Aug 08 08:43:22 GMT 2021","Sun Aug 08 08:43:25 GMT 2021","2140","test","test_TC04_UjCikk","TestNewBLogPost","","","test_website",""
"passed","Sun Aug 08 08:43:06 GMT 2021","Sun Aug 08 08:43:07 GMT 2021","77","test","test_TC01_Cookies","TestCookies","","","test_accept_cookies",""
"passed","Sun Aug 08 08:43:35 GMT 2021","Sun Aug 08 08:43:36 GMT 2021","1366","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_navigate_to_login",""
"broken","Sun Aug 08 08:43:40 GMT 2021","Sun Aug 08 08:43:40 GMT 2021","18","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_create_comment_upload_from_file",""
"passed","Sun Aug 08 08:43:31 GMT 2021","Sun Aug 08 08:43:33 GMT 2021","2134","test","test_TC05_AdatsorozatFile","TestFileUpload","","","test_website",""
